country_region,date,confirmed,deaths,lat,long,recovered
Afghanistan,2020-1-22,0.0,0.0,33.0,65.0,0.0
Albania,2020-1-22,0.0,0.0,41.1533,20.1683,0.0
Algeria,2020-1-22,0.0,0.0,28.0339,1.6596,0.0
Andorra,2020-1-22,0.0,0.0,42.5063,1.5218,0.0
Angola,2020-1-22,0.0,0.0,-11.2027,17.8739,0.0
Antigua and Barbuda,2020-1-22,0.0,0.0,17.0608,-61.7964,0.0
Argentina,2020-1-22,0.0,0.0,-38.4161,-63.6167,0.0
Armenia,2020-1-22,0.0,0.0,40.0691,45.0382,0.0
Australia,2020-1-22,0.0,0.0,-25.2743988,133.7751312,0.0
Austria,2020-1-22,0.0,0.0,47.5162,14.5501,0.0
Azerbaijan,2020-1-22,0.0,0.0,40.1431,47.5769,0.0
"Bahamas, The",2020-1-22,0.0,0.0,25.0343,-77.3963,0.0
Bahrain,2020-1-22,0.0,0.0,26.0275,50.55,0.0
Bangladesh,2020-1-22,0.0,0.0,23.685,90.3563,0.0
Barbados,2020-1-22,0.0,0.0,13.1939,-59.5432,0.0
Belarus,2020-1-22,0.0,0.0,53.7098,27.9534,0.0
Belgium,2020-1-22,0.0,0.0,50.8333,4.0,0.0
Benin,2020-1-22,0.0,0.0,9.3077,2.3158,0.0
Bhutan,2020-1-22,0.0,0.0,27.5142,90.4336,0.0
Bolivia,2020-1-22,0.0,0.0,-16.2902,-63.5887,0.0
Bosnia and Herzegovina,2020-1-22,0.0,0.0,43.9159,17.6791,0.0
Brazil,2020-1-22,0.0,0.0,-14.235,-51.9253,0.0
Brunei,2020-1-22,0.0,0.0,4.5353,114.7277,0.0
Bulgaria,2020-1-22,0.0,0.0,42.7339,25.4858,0.0
Burkina Faso,2020-1-22,0.0,0.0,12.2383,-1.5616,0.0
Cabo Verde,2020-1-22,0.0,0.0,16.5388,-23.0418,0.0
Cambodia,2020-1-22,0.0,0.0,11.55,104.9167,0.0
Cameroon,2020-1-22,0.0,0.0,3.848,11.5021,0.0
Canada,2020-1-22,0.0,0.0,49.2827,-123.1207,0.0
Cape Verde,2020-1-22,0.0,0.0,15.1111,-23.6167,0.0
Central African Republic,2020-1-22,0.0,0.0,6.6111,20.9394,0.0
Chad,2020-1-22,0.0,0.0,15.4542,18.7322,0.0
Chile,2020-1-22,0.0,0.0,-35.6751,-71.543,0.0
China,2020-1-22,548.0,17.0,30.9756,112.2707,28.0
Colombia,2020-1-22,0.0,0.0,4.5709,-74.2973,0.0
Congo (Brazzaville),2020-1-22,0.0,0.0,-4.0383,21.7587,0.0
Congo (Kinshasa),2020-1-22,0.0,0.0,-4.0383,21.7587,0.0
Costa Rica,2020-1-22,0.0,0.0,9.7489,-83.7534,0.0
